/home/farah/PycharmProjects/Change-History-Data-to-Enhance-Class-Change-Proneness-Prediction-Models/venv/bin/python /home/farah/PycharmProjects/Change-History-Data-to-Enhance-Class-Change-Proneness-Prediction-Models/scripts/statistical scripts/normality.py 
(111917, 198)
commons-bcel, MessageChain, 0.500, 0.000, NotGaussian
commons-bcel, IntensiveCoupling, 0.500, 0.000, NotGaussian
commons-bcel, ShotgunSurgery, 0.500, 0.000, NotGaussian
commons-bcel, BrainMethod, 0.500, 0.000, NotGaussian
commons-bcel, TotalMethod, 0.500, 0.000, NotGaussian
commons-bcel, TotalClassMethod, 0.581, 0.000, NotGaussian
commons-bcel, DiversityTotal, 0.581, 0.000, NotGaussian
commons-bcel, DiversityMethod, 0.500, 0.000, NotGaussian
commons-bcel, DiversityClass, 0.500, 0.000, NotGaussian
commons-bcel, TOTAL_CHANGES, 0.500, 0.000, NotGaussian
commons-bcel, release, 0.919, 0.000, NotGaussian
commons-bcel, will_change, 0.500, 0.000, NotGaussian
commons-io, cbo, 0.825, 0.000, NotGaussian
commons-io, wmc, 0.932, 0.000, NotGaussian
commons-io, dit, 0.841, 0.000, NotGaussian
commons-io, rfc, 0.828, 0.000, NotGaussian
commons-io, lcom, 0.522, 0.000, NotGaussian
commons-io, tcc, 0.500, 0.000, NotGaussian
commons-io, lcc, 0.500, 0.000, NotGaussian
commons-io, totalMethodsQty, 0.924, 0.000, NotGaussian
commons-io, staticMethodsQty, 0.500, 0.000, NotGaussian
commons-io, publicMethodsQty, 0.848, 0.000, NotGaussian
commons-io, privateMethodsQty, 0.500, 0.000, NotGaussian
commons-io, protectedMethodsQty, 0.500, 0.000, NotGaussian
commons-io, defaultMethodsQty, 0.500, 0.000, NotGaussian
commons-io, abstractMethodsQty, 0.916, 0.000, NotGaussian
commons-io, finalMethodsQty, 0.500, 0.000, NotGaussian
commons-io, synchronizedMethodsQty, 0.500, 0.000, NotGaussian
commons-io, totalFieldsQty, 0.500, 0.000, NotGaussian
commons-io, staticFieldsQty, 0.515, 0.000, NotGaussian
commons-io, publicFieldsQty, 0.500, 0.000, NotGaussian
commons-io, privateFieldsQty, 0.500, 0.000, NotGaussian
commons-io, protectedFieldsQty, 0.500, 0.000, NotGaussian
commons-io, defaultFieldsQty, 0.500, 0.000, NotGaussian
commons-io, visibleFieldsQty, 0.500, 0.000, NotGaussian
commons-io, finalFieldsQty, 0.500, 0.000, NotGaussian
commons-io, nosi, 0.500, 0.000, NotGaussian
commons-io, loc, 0.997, 0.000, NotGaussian
commons-io, returnQty, 0.500, 0.000, NotGaussian
commons-io, loopQty, 0.500, 0.000, NotGaussian
commons-io, comparisonsQty, 0.500, 0.000, NotGaussian
commons-io, tryCatchQty, 0.500, 0.000, NotGaussian
commons-io, parenthesizedExpsQty, 0.500, 0.000, NotGaussian
commons-io, stringLiteralsQty, 0.612, 0.000, NotGaussian
commons-io, numbersQty, 0.576, 0.000, NotGaussian
commons-io, assignmentsQty, 0.773, 0.000, NotGaussian
commons-io, mathOperationsQty, 0.500, 0.000, NotGaussian
commons-io, variablesQty, 0.764, 0.000, NotGaussian
commons-io, maxNestedBlocksQty, 0.525, 0.000, NotGaussian
commons-io, anonymousClassesQty, 0.500, 0.000, NotGaussian
commons-io, innerClassesQty, 0.500, 0.000, NotGaussian
commons-io, lambdasQty, 0.500, 0.000, NotGaussian
