Dataset;Algoritm;Approach;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score;Accuracy;Sensitivity;Specificity;ROC
wro4j;DT;Our;4;St;ROS;0.830;0.617;0.827;0.830;0.317;0.909;0.613
wro4j;DT;Our;4;StSm;ADA;0.7180335618;0.5607106215;0.7537605329;0.7180335618;0.4501779359;0.7590624148;0.6046201754
wro4j;DT;Our;4;StSm;NONE;0.8194280312;0.5989768493;0.8173197955;0.8194280312;0.293594306;0.8999727446;0.5967835253
wro4j;DT;Our;4;St;NONE;0.819;0.592;0.816;0.819;0.274;0.903;0.588
wro4j;RandomForest;Our;4;StSm;NONE;0.8631529189;0.5599688318;0.8281900615;0.8631529189;0.1245551601;0.9762878168;0.5504214885
wro4j;RandomForest;Our;4;St;NONE;0.862;0.556;0.827;0.862;0.119;0.976;0.547
commons-bcel;LogistRegression;Our;3;AF;SMOTE;0.9051217464;0.6655633336;0.9310263764;0.9051217464;0.9459459459;0.903812825;0.9248793855
commons-bcel;LogistRegression;Our;3;AF;ADA;0.9034424853;0.6630171364;0.9299705308;0.9034424853;0.9459459459;0.9020797227;0.9240128343
commons-bcel;LogistRegression;Our;3;StEv;ROS;0.8975650714;0.6544377854;0.9262828089;0.8975650714;0.9459459459;0.8960138648;0.9209799054
commons-bcel;LogistRegression;Our;3;AF;ROS;0.8967254408;0.6532521297;0.9257568276;0.8967254408;0.9459459459;0.8951473137;0.9205466298
commons-bcel;LogistRegression;Our;3;AF;NONE;0.8883291352;0.6418952066;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;Our;3;StEv;NONE;0.8883291352;0.6418952066;0.920505225;0.8883291352;0.9459459459;0.8864818024;0.9162138742
commons-bcel;LogistRegression;Our;3;StEv;SMOTE;0.905961377;0.6634574629;0.9313871088;0.905961377;0.9189189189;0.9055459272;0.9122324231
commons-bcel;LogistRegression;Our;3;StEv;ADA;0.9026028547;0.6583949836;0.9292789876;0.9026028547;0.9189189189;0.9020797227;0.9104993208
commons-bcel;LogistRegression;Our;3;Ev;SMOTE;0.812;0.570;0.873;0.812;1.000;0.806;0.903
commons-bcel;RandomForest;Our;3;StEv;ADA;0.9924433249;0.9308919764;0.992059998;0.9924433249;0.7837837838;0.9991334489;0.8914586163
commons-bcel;RandomForest;Our;3;AF;ADA;0.9916036944;0.9243098276;0.9912441546;0.9916036944;0.7837837838;0.9982668977;0.8910253408
commons-bcel;RandomForest;Our;3;EvSm;ROS;0.9882451721;0.8997474747;0.9880869993;0.9882451721;0.7837837838;0.9948006932;0.8892922385
commons-bcel;DT;Our;3;StEv;ROS;0.9832073887;0.867454594;0.9836233916;0.9832073887;0.7837837838;0.9896013865;0.8866925851
commons-bcel;LogistRegression;Our;3;EvSm;ADA;0.8295549958;0.5800780538;0.8836355094;0.8295549958;0.9459459459;0.8258232236;0.8858845848
commons-bcel;MLP;Our;3;AF;ROS;0.9790092359;0.8439604438;0.9801062027;0.9790092359;0.7837837838;0.9852686308;0.8845262073
commons-bcel;MLP;Our;3;AF;ADA;0.9781696054;0.8395810021;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;MLP;Our;3;AF;SMOTE;0.9781696054;0.8395810021;0.9794215349;0.9781696054;0.7837837838;0.9844020797;0.8840929318
commons-bcel;LogistRegression;Our;3;Ev;ADA;0.798;0.557;0.863;0.798;0.973;0.792;0.883
commons-bcel;LogistRegression;Our;3;Ev;ROS;0.795;0.555;0.862;0.795;0.973;0.789;0.881
commons-bcel;LogistRegression;Our;3;EvSm;SMOTE;0.8455079765;0.5917281467;0.8936153351;0.8455079765;0.9189189189;0.8431542461;0.8810365825
commons-bcel;LogistRegression;Our;3;Ev;NONE;0.767;0.537;0.843;0.767;1.000;0.760;0.880
commons-bcel;RandomForest;Our;3;AF;ROS;0.9916036944;0.9220835296;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;RandomForest;Our;3;StEv;ROS;0.9916036944;0.9220835296;0.9911093288;0.9916036944;0.7567567568;0.9991334489;0.8779451028
commons-bcel;LogistRegression;Our;3;EvSm;ROS;0.8312342569;0.578831345;0.8846166515;0.8312342569;0.9189189189;0.8284228769;0.8736708979
commons-bcel;MLP;Our;3;StEv;SMOTE;0.9806884971;0.849436893;0.9812786572;0.9806884971;0.7567567568;0.9878682842;0.8723125205
commons-bcel;MLP;Our;3;StEv;ADA;0.9798488665;0.8447871416;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;MLP;Our;3;StEv;ROS;0.9798488665;0.8447871416;0.9805782728;0.9798488665;0.7567567568;0.9870017331;0.8718792449
commons-bcel;LogistRegression;Our;3;EvSm;NONE;0.8245172124;0.5730999768;0.8803571455;0.8245172124;0.9189189189;0.8214904679;0.8702046934
commons-bcel;MLP;Our;3;Ev;ROS;0.922;0.675;0.941;0.922;0.811;0.925;0.868
commons-bcel;MLP;Our;3;EvSm;ADA;0.9420654912;0.7130471219;0.9534733611;0.9420654912;0.7837837838;0.9471403813;0.8654620825
commons-bcel;RandomForest;Our;3;StEv;SMOTE;0.9907640638;0.9130108562;0.9901425906;0.9907640638;0.7297297297;0.9991334489;0.8644315893
commons-bcel;RandomForest;Our;3;EvSm;ADA;0.9848866499;0.8711038961;0.9846832848;0.9848866499;0.7297297297;0.993067591;0.8613986604
commons-bcel;DT;Our;3;AF;ADA;0.9832073887;0.8605321092;0.9832073887;0.9832073887;0.7297297297;0.9913344887;0.8605321092
commons-bcel;RandomForest;Our;3;Ev;ROS;0.983;0.861;0.983;0.983;0.730;0.991;0.861
commons-bcel;MLP;Our;3;Ev;ADA;0.931;0.689;0.946;0.931;0.784;0.936;0.860
commons-bcel;MLP;Our;3;Ev;SMOTE;0.929;0.685;0.945;0.929;0.784;0.934;0.859
commons-bcel;DT;Our;3;Ev;ROS;0.980;0.841;0.980;0.980;0.730;0.988;0.859
commons-bcel;DT;Our;3;EvSm;ADA;0.9781696054;0.8318527368;0.9789597955;0.9781696054;0.7297297297;0.986135182;0.8579324559
commons-bcel;DT;Our;3;EvSm;ROS;0.9781696054;0.8318527368;0.9789597955;0.9781696054;0.7297297297;0.986135182;0.8579324559
commons-bcel;RandomForest;Our;3;Ev;SMOTE;0.978;0.832;0.979;0.978;0.730;0.986;0.858
commons-bcel;DT;Our;3;StEv;SMOTE;0.9739714526;0.8108991267;0.9755933292;0.9739714526;0.7297297297;0.9818024263;0.855766078
commons-bcel;RandomForest;Our;3;AF;SMOTE;0.9890848027;0.8971946483;0.9883503343;0.9890848027;0.7027027027;0.9982668977;0.8504848002
commons-bcel;DT;Our;3;StEv;NONE;0.9882451721;0.8909169414;0.9875530603;0.9882451721;0.7027027027;0.9974003466;0.8500515247
commons-bcel;MLP;Our;3;AF;NONE;0.9857262804;0.8731367131;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;MLP;Our;3;StEv;NONE;0.9857262804;0.8731367131;0.9852245444;0.9857262804;0.7027027027;0.9948006932;0.848751698
commons-bcel;RandomForest;Our;3;EvSm;SMOTE;0.9823677582;0.8516169604;0.9822508076;0.9823677582;0.7027027027;0.9913344887;0.8470185957
commons-bcel;DT;Our;3;Ev;NONE;0.982;0.847;0.982;0.982;0.703;0.990;0.847
commons-bcel;DT;Our;3;EvSm;NONE;0.9798488665;0.836901447;0.9801052744;0.9798488665;0.7027027027;0.9887348354;0.845718769
commons-bcel;DT;Our;3;StEv;ADA;0.9790092359;0.8322393442;0.979404487;0.9790092359;0.7027027027;0.9878682842;0.8452854935
commons-bcel;MLP;Our;3;EvSm;ROS;0.9487825357;0.7213287049;0.9574494567;0.9487825357;0.7297297297;0.9558058925;0.8427678111
commons-bcel;DT;Our;3;Ev;SMOTE;0.972;0.799;0.974;0.972;0.703;0.981;0.842
commons-bcel;DT;Our;3;Ev;ADA;0.971;0.791;0.973;0.971;0.703;0.979;0.841
commons-bcel;MLP;Our;3;EvSm;SMOTE;0.9546599496;0.7334201015;0.9611849958;0.9546599496;0.7027027027;0.9627383016;0.8327205021
commons-bcel;RandomForest;Our;3;Ev;ADA;0.979;0.828;0.979;0.979;0.676;0.989;0.832
commons-bcel;DT;Our;3;EvSm;SMOTE;0.9722921914;0.7940277858;0.9737401875;0.9722921914;0.6756756757;0.9818024263;0.828739051
commons-bcel;MLP;Our;3;StSm;ADA;0.8505457599;0.5814088489;0.8962003982;0.8505457599;0.7837837838;0.8526863085;0.8182350461
commons-bcel;MLP;Our;3;St;ROS;0.822;0.560;0.878;0.822;0.811;0.822;0.817
commons-bcel;DT;Our;3;AF;SMOTE;0.9714525609;0.7852916225;0.9727954712;0.9714525609;0.6486486486;0.9818024263;0.8152255375
commons-bcel;MLP;Our;3;StSm;SMOTE;0.8681780017;0.5952636056;0.9069664486;0.8681780017;0.7567567568;0.8717504333;0.814253595
commons-bcel;MLP;Our;3;StSm;ROS;0.8337531486;0.5667149283;0.8857327808;0.8337531486;0.7837837838;0.835355286;0.8095695349
commons-bcel;MLP;Our;3;St;SMOTE;0.861;0.584;0.902;0.861;0.730;0.865;0.797
commons-bcel;MLP;Our;3;St;ADA;0.846;0.571;0.893;0.846;0.730;0.850;0.790
commons-bcel;DT;Our;3;AF;NONE;0.9823677582;0.8288055196;0.9808702541;0.9823677582;0.5675675676;0.9956672444;0.781617406
commons-bcel;DT;Our;3;AF;ROS;0.9781696054;0.8032055519;0.9772348019;0.9781696054;0.5675675676;0.9913344887;0.7794510282
commons-bcel;RandomForest;Our;3;StEv;NONE;0.9857262804;0.847221279;0.9836499268;0.9857262804;0.5405405405;1;0.7702702703
commons-bcel;LogistRegression;Our;3;StSm;ADA;0.7573467674;0.512566116;0.8365234473;0.7573467674;0.7837837838;0.7564991334;0.7701414586
commons-bcel;RandomForest;Our;3;Ev;NONE;0.982;0.823;0.981;0.982;0.541;0.997;0.769
commons-bcel;LogistRegression;Our;3;St;ADA;0.722;0.494;0.813;0.722;0.811;0.719;0.765
commons-bcel;LogistRegression;Our;3;StSm;SMOTE;0.7976490344;0.5337870433;0.8627310657;0.7976490344;0.7297297297;0.7998266898;0.7647782098
commons-bcel;DT;Our;3;StSm;ROS;0.9605373636;0.7196454061;0.9633739536;0.9605373636;0.5405405405;0.9740034662;0.7572720034
commons-bcel;RandomForest;Our;3;EvSm;NONE;0.9823677582;0.8175138811;0.9801832987;0.9823677582;0.5135135135;0.9974003466;0.7554569301
commons-bcel;LogistRegression;Our;3;St;SMOTE;0.779;0.521;0.851;0.779;0.730;0.781;0.755
commons-bcel;LogistRegression;Our;3;StSm;ROS;0.7783375315;0.520952172;0.8502757076;0.7783375315;0.7297297297;0.7798960139;0.7548128718
commons-bcel;LogistRegression;Our;3;St;ROS;0.774;0.518;0.848;0.774;0.730;0.776;0.753
commons-bcel;DT;Our;3;St;NONE;0.950;0.689;0.956;0.950;0.541;0.964;0.752
commons-bcel;LogistRegression;Our;3;StSm;NONE;0.771620487;0.516674226;0.8458938486;0.771620487;0.7297297297;0.7729636049;0.7513466673
commons-bcel;LogistRegression;Our;3;St;NONE;0.769;0.515;0.844;0.769;0.730;0.770;0.750
commons-bcel;RandomForest;Our;3;AF;NONE;0.9840470193;0.8231902176;0.9813566327;0.9840470193;0.4864864865;1;0.7432432432
commons-bcel;DT;Our;3;StSm;ADA;0.9487825357;0.6785595774;0.9549689587;0.9487825357;0.5135135135;0.9627383016;0.7381259075
commons-bcel;DT;Our;3;StSm;SMOTE;0.9084802687;0.6048669132;0.9297099382;0.9084802687;0.5135135135;0.9211438475;0.7173286805
commons-bcel;MLP;Our;3;EvSm;NONE;0.9764903442;0.7606373816;0.9738184243;0.9764903442;0.4324324324;0.9939341421;0.7131832873
commons-bcel;DT;Our;3;St;ROS;0.947;0.661;0.953;0.947;0.459;0.963;0.711
commons-bcel;DT;Our;3;St;SMOTE;0.924;0.617;0.939;0.924;0.459;0.939;0.699
commons-bcel;DT;Our;3;StSm;NONE;0.959697733;0.6818910256;0.9606961399;0.959697733;0.4054054054;0.9774696707;0.6914375381
commons-bcel;RandomForest;Our;3;St;SMOTE;0.968;0.704;0.966;0.968;0.378;0.987;0.683
commons-bcel;RandomForest;Our;3;StSm;SMOTE;0.9672544081;0.7005318977;0.9655933248;0.9672544081;0.3783783784;0.986135182;0.6822567802
commons-bcel;RandomForest;Our;3;StSm;ADA;0.9655751469;0.6940356022;0.9643650777;0.9655751469;0.3783783784;0.9844020797;0.6813902291
commons-bcel;RandomForest;Our;3;StSm;NONE;0.9798488665;0.7548542024;0.9751162881;0.9798488665;0.3513513514;1;0.6756756757
commons-bcel;DT;Our;3;St;ADA;0.929;0.612;0.941;0.929;0.405;0.945;0.675
commons-bcel;RandomForest;Our;3;St;NONE;0.979;0.750;0.974;0.979;0.351;0.999;0.675
commons-bcel;RandomForest;Our;3;StSm;ROS;0.973131822;0.7172532495;0.9695183558;0.973131822;0.3513513514;0.993067591;0.6722094712
commons-bcel;RandomForest;Our;3;St;ADA;0.968;0.695;0.966;0.968;0.351;0.988;0.670
commons-bcel;RandomForest;Our;3;St;ROS;0.966;0.685;0.964;0.966;0.351;0.985;0.668
commons-bcel;MLP;Our;3;Ev;NONE;0.973;0.707;0.969;0.973;0.324;0.994;0.659
commons-bcel;MLP;Our;3;St;NONE;0.962;0.566;0.955;0.962;0.108;0.990;0.549
commons-bcel;MLP;Our;3;StSm;NONE;0.9680940386;0.5168872758;0.9547656025;0.9680940386;0.02702702703;0.9982668977;0.5126469624
commons-io;RandomForest;Our;3;StEv;ROS;0.9666185864;0.9126946291;0.966505479;0.9666185864;0.8376313276;0.9822150364;0.909923182
commons-io;RandomForest;Our;3;StSm;ADA;0.9510611993;0.8809274608;0.952595875;0.9510611993;0.8510028653;0.9631597182;0.9070812918
commons-io;RandomForest;Our;3;AF;ROS;0.9667216155;0.9124070538;0.9665013157;0.9667216155;0.8309455587;0.9831389306;0.9070422447
commons-io;RandomForest;Our;3;St;ROS;0.953;0.883;0.954;0.953;0.847;0.965;0.906
commons-io;RandomForest;Our;3;St;ADA;0.951;0.880;0.952;0.951;0.848;0.963;0.906
commons-io;MLP;Our;3;StEv;ROS;0.9379765094;0.8567874192;0.9413538333;0.9379765094;0.8576886342;0.9476844901;0.9026865622
commons-io;RandomForest;Our;3;StSm;ROS;0.9508551411;0.8790268714;0.9521324723;0.9508551411;0.8357211079;0.9647765331;0.9002488205
commons-io;RandomForest;Our;3;StSm;SMOTE;0.9500309087;0.8773811659;0.9514020255;0.9500309087;0.8357211079;0.9638526389;0.8997868734
commons-io;RandomForest;Our;3;StEv;SMOTE;0.9620853081;0.9010896015;0.9620052822;0.9620853081;0.8194842407;0.979327867;0.8994060538
commons-io;RandomForest;Our;3;StEv;ADA;0.9637337729;0.9044201838;0.9634700191;0.9637337729;0.8156638013;0.9816376025;0.8986507019
commons-io;DT;Our;3;StSm;ADA;0.9300432722;0.842566093;0.9346015164;0.9300432722;0.8557784145;0.9390229819;0.8974006982
commons-io;RandomForest;Our;3;AF;SMOTE;0.961982279;0.9004423578;0.9618290542;0.961982279;0.8147086915;0.9797898141;0.8972492528
commons-io;RandomForest;Our;3;St;SMOTE;0.949;0.875;0.951;0.949;0.831;0.964;0.897
commons-io;RandomForest;Our;3;AF;ADA;0.9626004533;0.9015596301;0.9623528718;0.9626004533;0.811843362;0.9808291951;0.8963362785
commons-io;DT;Our;3;St;ADA;0.922;0.829;0.928;0.922;0.852;0.931;0.891
commons-io;MLP;Our;3;StEv;SMOTE;0.9378734803;0.8534392978;0.9406814584;0.9378734803;0.8290353391;0.9510336067;0.8900344729
commons-io;RandomForest;Our;3;StSm;NONE;0.9508551411;0.8765083131;0.9516547817;0.9508551411;0.8108882521;0.9677791893;0.8893337207
commons-io;DT;Our;3;StSm;SMOTE;0.9236554708;0.8304124203;0.929032137;0.9236554708;0.8443170965;0.933248643;0.8887828697
commons-io;DT;Our;3;St;SMOTE;0.917;0.820;0.923;0.917;0.851;0.924;0.888
commons-io;RandomForest;Our;3;St;NONE;0.951;0.877;0.952;0.951;0.806;0.969;0.888
commons-io;DT;Our;3;AF;SMOTE;0.9321038533;0.8427200173;0.9357075476;0.9321038533;0.8261700096;0.9449128075;0.8855414085
commons-io;RandomForest;Our;3;EvSm;ADA;0.9495157634;0.8719577466;0.9501112579;0.9495157634;0.7936962751;0.9683566232;0.8810264491
commons-io;MLP;Our;3;AF;ADA;0.9412734391;0.8569477914;0.9430839737;0.9412734391;0.8042024833;0.9578473265;0.8810249049
commons-io;MLP;Our;3;AF;ROS;0.9463218628;0.8654412753;0.9472569606;0.9463218628;0.7927411652;0.9648920199;0.8788165925
commons-io;RandomForest;Our;3;EvSm;SMOTE;0.9491036472;0.8700660048;0.9495421652;0.9491036472;0.7841451767;0.9690495438;0.8765973603
commons-io;RandomForest;Our;3;Ev;SMOTE;0.947;0.865;0.947;0.947;0.784;0.966;0.875
commons-io;DT;Our;3;StEv;SMOTE;0.9351947249;0.8448235505;0.9376958847;0.9351947249;0.7975167144;0.9518420141;0.8746793643
commons-io;RandomForest;Our;3;Ev;ADA;0.944;0.860;0.945;0.944;0.785;0.963;0.874
commons-io;RandomForest;Our;3;StEv;NONE;0.963836802;0.899167864;0.9624973321;0.963836802;0.7554918816;0.9890287562;0.8722603189
commons-io;RandomForest;Our;3;AF;NONE;0.9622913662;0.8952921501;0.9609796865;0.9622913662;0.7526265521;0.9876429149;0.8701347335
commons-io;MLP;Our;3;StSm;SMOTE;0.8872862147;0.7743868837;0.8995528767;0.8872862147;0.8338108883;0.8937521654;0.8637815268
commons-io;MLP;Our;3;StSm;ROS;0.8930558417;0.7807890944;0.9038202607;0.8930558417;0.8223495702;0.9016052662;0.8619774182
commons-io;MLP;Our;3;AF;SMOTE;0.9460127756;0.8598694849;0.9460354151;0.9460127756;0.7507163324;0.9696269777;0.860171655
commons-io;MLP;Our;3;StSm;ADA;0.8618380383;0.7438746101;0.8801942724;0.8618380383;0.8490926457;0.8633791431;0.8562358944
commons-io;MLP;Our;3;St;ADA;0.870;0.752;0.886;0.870;0.838;0.874;0.856
commons-io;MLP;Our;3;St;ROS;0.886;0.770;0.898;0.886;0.816;0.895;0.855
commons-io;DT;Our;3;AF;ADA;0.9373583351;0.8427828561;0.9384136406;0.9373583351;0.7497612225;0.9600415752;0.8549013989
commons-io;MLP;Our;3;St;SMOTE;0.891;0.775;0.902;0.891;0.802;0.902;0.852
commons-io;DT;Our;3;StEv;ADA;0.9420976715;0.8492011835;0.9420245055;0.9420976715;0.7287488061;0.9678946761;0.8483217411
commons-io;DT;Our;3;AF;ROS;0.9470430661;0.8582434072;0.946233905;0.9470430661;0.7211079274;0.9743619356;0.8477349315
commons-io;MLP;Our;3;StEv;ADA;0.9437461364;0.8509770349;0.9431888919;0.9437461364;0.7172874881;0.9711283058;0.8442078969
commons-io;DT;Our;3;StEv;ROS;0.9451885432;0.85366233;0.9444254273;0.9451885432;0.7153772684;0.9729760942;0.8441766813
commons-io;DT;Our;3;AF;NONE;0.9452915722;0.8467535065;0.9431265961;0.9452915722;0.664756447;0.9792123802;0.8219844136
commons-io;DT;Our;3;StEv;NONE;0.942921904;0.8422294284;0.9410779097;0.942921904;0.6676217765;0.976209724;0.8219157502
commons-io;DT;Our;3;St;ROS;0.927;0.812;0.927;0.927;0.673;0.957;0.815
commons-io;RandomForest;Our;3;EvSm;ROS;0.9496187925;0.8527034703;0.9464059259;0.9496187925;0.6418338109;0.9868345074;0.8143341592
commons-io;MLP;Our;3;StEv;NONE;0.9463218628;0.8460656987;0.9434932387;0.9463218628;0.6456542502;0.9826769835;0.8141656169
commons-io;MLP;Our;3;AF;NONE;0.9453946013;0.8442231586;0.9426784158;0.9453946013;0.6466093601;0.9815221157;0.8140657379
commons-io;DT;Our;3;St;NONE;0.926;0.808;0.926;0.926;0.653;0.959;0.806
commons-io;DT;Our;3;StSm;ROS;0.9283948073;0.8100641368;0.9276379606;0.9283948073;0.6446991404;0.9626977711;0.8036984558
commons-io;DT;Our;3;StSm;NONE;0.9261281681;0.8060567237;0.9257351099;0.9261281681;0.6456542502;0.9600415752;0.8028479127
commons-io;MLP;Our;3;EvSm;ROS;0.8159901092;0.6820240413;0.8438890745;0.8159901092;0.7736389685;0.8211109828;0.7973749756
commons-io;RandomForest;Our;3;Ev;ROS;0.946;0.838;0.942;0.946;0.601;0.988;0.794
commons-io;MLP;Our;3;EvSm;ADA;0.8123840923;0.6779463273;0.8411324646;0.8123840923;0.770773639;0.8174154059;0.7940945225
commons-io;MLP;Our;3;EvSm;SMOTE;0.8284566248;0.6895042973;0.8524035914;0.8284566248;0.7392550143;0.8392424067;0.7892487105
commons-io;DT;Our;3;EvSm;ADA;0.8800741809;0.7336936952;0.8885364213;0.8800741809;0.6427889207;0.9087654464;0.7757771835
commons-io;DT;Our;3;Ev;SMOTE;0.864;0.715;0.876;0.864;0.658;0.888;0.773
commons-io;DT;Our;3;Ev;ADA;0.856;0.701;0.870;0.856;0.629;0.884;0.757
commons-io;DT;Our;3;EvSm;SMOTE;0.8637955904;0.7079695508;0.875268255;0.8637955904;0.6179560649;0.8935211918;0.7557386284
commons-io;LogistRegression;Our;3;StEv;ROS;0.7743663713;0.6352655529;0.8119147737;0.7743663713;0.7268385864;0.780113177;0.7534758817
commons-io;MLP;Our;3;Ev;ROS;0.776;0.635;0.813;0.776;0.718;0.783;0.751
commons-io;MLP;Our;3;Ev;ADA;0.767;0.629;0.807;0.767;0.729;0.772;0.750
commons-io;LogistRegression;Our;3;AF;ROS;0.7671543375;0.6287705859;0.8065257525;0.7671543375;0.7258834766;0.7721445894;0.749014033
commons-io;LogistRegression;Our;3;AF;ADA;0.7637543787;0.6252253129;0.8039209999;0.7637543787;0.7220630372;0.7687954729;0.7454292551
commons-io;LogistRegression;Our;3;StEv;SMOTE;0.768081599;0.6279293666;0.8070193101;0.768081599;0.7153772684;0.774454325;0.7449157967
commons-io;LogistRegression;Our;3;StEv;ADA;0.7607665362;0.6222089773;0.8016407803;0.7607665362;0.7191977077;0.7657928167;0.7424952622
commons-io;LogistRegression;Our;3;AF;NONE;0.766227076;0.6254099046;0.8055309446;0.766227076;0.7096466094;0.7730684837;0.7413575465
commons-io;LogistRegression;Our;3;AF;SMOTE;0.7678755409;0.6262316918;0.8066823997;0.7678755409;0.70582617;0.7753782192;0.7406021946
commons-io;DT;Our;3;EvSm;ROS;0.9015042242;0.7421768372;0.9011283536;0.9015042242;0.5348615091;0.9458367017;0.7403491054
commons-io;LogistRegression;Our;3;StEv;NONE;0.7631362044;0.6228935791;0.8032495284;0.7631362044;0.7106017192;0.7694883936;0.7400450564
commons-io;MLP;Our;3;Ev;SMOTE;0.786;0.638;0.820;0.786;0.678;0.799;0.739
commons-io;RandomForest;Our;3;EvSm;NONE;0.9377704513;0.7942951381;0.9290267053;0.9377704513;0.4756446991;0.9936482273;0.7346464632
commons-io;DT;Our;3;Ev;ROS;0.894;0.730;0.895;0.894;0.530;0.938;0.734
commons-io;DT;Our;3;Ev;NONE;0.895;0.729;0.895;0.895;0.521;0.940;0.730
commons-io;RandomForest;Our;3;Ev;NONE;0.933;0.773;0.923;0.933;0.431;0.994;0.712
commons-io;DT;Our;3;EvSm;NONE;0.8984133526;0.7214810857;0.8955773131;0.8984133526;0.4699140401;0.9502251992;0.7100696197
commons-io;MLP;Our;3;StSm;NONE;0.9257160519;0.7548665963;0.9153634563;0.9257160519;0.4212034384;0.9867190207;0.7039612295
commons-io;MLP;Our;3;St;NONE;0.924;0.750;0.914;0.924;0.414;0.986;0.700
commons-io;LogistRegression;Our;3;St;SMOTE;0.709;0.575;0.762;0.709;0.682;0.712;0.697
commons-io;LogistRegression;Our;3;StSm;SMOTE;0.7081186895;0.5740741203;0.76146572;0.7081186895;0.6819484241;0.7112830581;0.6966157411
commons-io;LogistRegression;Our;3;St;ROS;0.705;0.571;0.759;0.705;0.679;0.708;0.693
commons-io;LogistRegression;Our;3;StSm;ROS;0.7009066557;0.5686110672;0.7559662336;0.7009066557;0.6819484241;0.7031989837;0.6925737039
commons-io;LogistRegression;Our;3;St;NONE;0.707;0.571;0.760;0.707;0.667;0.711;0.689
commons-io;LogistRegression;Our;3;StSm;NONE;0.7041005564;0.5691543586;0.7582579038;0.7041005564;0.6695319962;0.7082804019;0.688906199
commons-io;LogistRegression;Our;3;EvSm;SMOTE;0.6652586029;0.5464926061;0.7285032298;0.6652586029;0.711556829;0.6596604689;0.685608649
commons-io;LogistRegression;Our;3;EvSm;NONE;0.6614465279;0.543988015;0.7254931308;0.6614465279;0.7134670487;0.6551564846;0.6843117666
commons-io;LogistRegression;Our;3;EvSm;ADA;0.6660828354;0.5464408227;0.729131896;0.6660828354;0.7067812798;0.661161797;0.6839715384
commons-io;LogistRegression;Our;3;EvSm;ROS;0.6623737894;0.5432361507;0.7261846489;0.6623737894;0.7029608405;0.6574662201;0.6802135303
commons-io;LogistRegression;Our;3;StSm;ADA;0.6954461158;0.5609519317;0.7515270861;0.6954461158;0.6580706781;0.699965354;0.679018016
commons-io;LogistRegression;Our;3;St;ADA;0.686;0.553;0.745;0.686;0.652;0.690;0.671
commons-io;LogistRegression;Our;3;Ev;SMOTE;0.616;0.510;0.689;0.616;0.701;0.605;0.653
commons-io;LogistRegression;Our;3;Ev;ROS;0.617;0.509;0.689;0.617;0.688;0.608;0.648
commons-io;LogistRegression;Our;3;Ev;ADA;0.617;0.509;0.690;0.617;0.686;0.609;0.647
commons-io;LogistRegression;Our;3;Ev;NONE;0.612;0.506;0.685;0.612;0.689;0.602;0.645
commons-io;MLP;Our;3;EvSm;NONE;0.9007830208;0.622107291;0.8766099491;0.9007830208;0.1948424069;0.9861415868;0.5904919968
commons-io;MLP;Our;3;Ev;NONE;0.893;0.546;0.857;0.893;0.086;0.991;0.538
junit4;RandomForest;Our;3;EvSm;SMOTE;0.9786839666;0.9000893749;0.9795052267;0.9786839666;0.8839285714;0.9838709677;0.9338997696
junit4;RandomForest;Our;3;EvSm;ADA;0.9768303985;0.8922314776;0.9778038171;0.9768303985;0.875;0.9824046921;0.928702346
junit4;RandomForest;Our;3;Ev;SMOTE;0.974;0.877;0.975;0.974;0.839;0.981;0.910
junit4;RandomForest;Our;3;Ev;ADA;0.973;0.875;0.974;0.973;0.839;0.980;0.910
junit4;DT;Our;3;AF;SMOTE;0.9721964782;0.8696817933;0.973267687;0.9721964782;0.8214285714;0.9804496579;0.9009391146
junit4;RandomForest;Our;3;AF;SMOTE;0.9814643188;0.9042080966;0.9813048632;0.9814643188;0.8035714286;0.991202346;0.8973868873
junit4;MLP;Our;3;Ev;ROS;0.967;0.851;0.969;0.967;0.813;0.976;0.894
junit4;RandomForest;Our;3;StEv;SMOTE;0.9805375348;0.8985452738;0.9802839504;0.9805375348;0.7857142857;0.991202346;0.8884583159
junit4;MLP;Our;3;Ev;SMOTE;0.963;0.836;0.965;0.963;0.804;0.972;0.888
junit4;DT;Our;3;AF;ADA;0.9675625579;0.8491240686;0.9689253439;0.9675625579;0.7857142857;0.9775171065;0.8816156961
junit4;DT;Our;3;StEv;SMOTE;0.9670991659;0.8475508013;0.9685380002;0.9670991659;0.7857142857;0.977028348;0.8813713169
junit4;RandomForest;Our;3;StEv;ADA;0.9805375348;0.896749705;0.9801065274;0.9805375348;0.7678571429;0.9921798631;0.880018503
junit4;DT;Our;3;StEv;ADA;0.9717330862;0.8604990277;0.9721371539;0.9717330862;0.7589285714;0.9833822092;0.8711553903
junit4;RandomForest;Our;3;EvSm;ROS;0.9796107507;0.8908657913;0.9790635053;0.9796107507;0.75;0.9921798631;0.8710899316
