Dataset;Algoritm;Approach;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score;Accuracy;Sensitivity;Specificity;ROC
commons-bcel;LogistRegression;Our;4;EvSm;NONE;0.8272884283;0.5807537743;0.8805932184;0.8272884283;0.8974358974;0.8248436104;0.8611397539
commons-bcel;RandomForest;Our;4;AF;ROS;0.9853195164;0.8797720763;0.9848331227;0.9853195164;0.7179487179;0.9946380697;0.8562933938
commons-bcel;RandomForest;Our;4;StEv;ADA;0.9844559585;0.8743641054;0.9840497155;0.9844559585;0.7179487179;0.9937444147;0.8558465663
commons-bcel;DT;Our;4;EvSm;ROS;0.97582038;0.8270609319;0.9766514383;0.97582038;0.7179487179;0.9848078642;0.8513782911
commons-bcel;DT;Our;4;Ev;SMOTE;0.965;0.783;0.969;0.965;0.718;0.974;0.846
commons-bcel;DT;Our;4;AF;ROS;0.981865285;0.8553145917;0.981514729;0.981865285;0.6923076923;0.9919571046;0.8421323984
commons-bcel;LogistRegression;Our;4;EvSm;SMOTE;0.8359240069;0.5827897451;0.8858773313;0.8359240069;0.8461538462;0.835567471;0.8408606586
commons-bcel;DT;Our;4;AF;NONE;0.9792746114;0.8407919159;0.9792746114;0.9792746114;0.6923076923;0.9892761394;0.8407919159
commons-bcel;DT;Our;4;AF;ADA;0.9715025907;0.802942405;0.9729190628;0.9715025907;0.6923076923;0.981233244;0.8367704681
commons-bcel;RandomForest;Our;4;Ev;SMOTE;0.968;0.788;0.970;0.968;0.692;0.978;0.835
commons-bcel;RandomForest;Our;4;AF;NONE;0.9887737478;0.8971123945;0.9876835396;0.9887737478;0.6666666667;1;0.8333333333
commons-bcel;RandomForest;Our;4;StEv;NONE;0.98791019;0.8908282828;0.9868433558;0.98791019;0.6666666667;0.999106345;0.8328865058
commons-bcel;DT;Our;4;StEv;NONE;0.9801381693;0.841535029;0.979754227;0.9801381693;0.6666666667;0.9910634495;0.8288650581
commons-bcel;DT;Our;4;StEv;ADA;0.9775474957;0.8275245755;0.9775474957;0.9775474957;0.6666666667;0.9883824844;0.8275245755
commons-bcel;DT;Our;4;Ev;ROS;0.973;0.806;0.974;0.973;0.667;0.984;0.825
commons-bcel;LogistRegression;Our;4;EvSm;ADA;0.8333333333;0.5747466963;0.8840197505;0.8333333333;0.7948717949;0.8346738159;0.8147728054
commons-bcel;RandomForest;Our;4;Ev;ROS;0.978;0.819;0.977;0.978;0.615;0.990;0.803
commons-bcel;RandomForest;Our;4;Ev;ADA;0.969;0.778;0.970;0.969;0.615;0.981;0.798
commons-bcel;DT;Our;4;EvSm;ADA;0.9654576857;0.763750612;0.9673427985;0.9654576857;0.6153846154;0.9776586238;0.7965216196
commons-bcel;DT;Our;4;Ev;NONE;0.973;0.792;0.973;0.973;0.590;0.987;0.788
commons-bcel;MLP;Our;4;StSm;ROS;0.8851468048;0.609334534;0.9154776507;0.8851468048;0.6666666667;0.8927613941;0.7797140304
commons-bcel;DT;Our;4;St;SMOTE;0.933;0.673;0.945;0.933;0.615;0.944;0.780
commons-bcel;DT;Our;4;Ev;ADA;0.956;0.726;0.960;0.956;0.590;0.969;0.779
commons-bcel;LogistRegression;Our;4;StSm;ADA;0.7875647668;0.5368451858;0.8546587392;0.7875647668;0.7692307692;0.7882037534;0.7787172613
commons-bcel;MLP;Our;4;St;ADA;0.905;0.631;0.928;0.905;0.641;0.914;0.778
commons-bcel;LogistRegression;Our;4;St;ROS;0.805;0.547;0.866;0.805;0.744;0.807;0.775
commons-bcel;DT;Our;4;EvSm;NONE;0.9689119171;0.7669499106;0.9692866147;0.9689119171;0.5641025641;0.9830205541;0.7735615591
commons-bcel;MLP;Our;4;St;SMOTE;0.873;0.596;0.908;0.873;0.667;0.880;0.773
commons-bcel;MLP;Our;4;St;ROS;0.846;0.574;0.892;0.846;0.692;0.852;0.772
commons-bcel;LogistRegression;Our;4;St;ADA;0.795;0.540;0.860;0.795;0.744;0.797;0.770
commons-bcel;LogistRegression;Our;4;St;SMOTE;0.813;0.550;0.871;0.813;0.718;0.817;0.767
commons-bcel;MLP;Our;4;StSm;ADA;0.8549222798;0.5781054823;0.8968284474;0.8549222798;0.6666666667;0.8614834674;0.764075067
commons-bcel;LogistRegression;Our;4;StSm;ROS;0.804835924;0.5437352246;0.8656401965;0.804835924;0.7179487179;0.8078641644;0.7629064412
commons-bcel;DT;Our;4;StSm;SMOTE;0.9179620035;0.6412814869;0.9351015045;0.9179620035;0.5897435897;0.9294012511;0.7595724204
commons-bcel;RandomForest;Our;4;EvSm;NONE;0.9810017271;0.8177004322;0.9786177666;0.9810017271;0.5128205128;0.9973190349;0.7550697738
commons-bcel;LogistRegression;Our;4;StSm;SMOTE;0.8134715026;0.5472140762;0.8710406759;0.8134715026;0.6923076923;0.81769437;0.7550010311
commons-bcel;LogistRegression;Our;4;St;NONE;0.808;0.543;0.868;0.808;0.692;0.812;0.752
commons-bcel;LogistRegression;Our;4;StSm;NONE;0.8074265976;0.5427892557;0.8672027963;0.8074265976;0.6923076923;0.8114387846;0.7518732385
commons-bcel;MLP;Our;4;EvSm;NONE;0.9775474957;0.7911023535;0.9751615432;0.9775474957;0.4871794872;0.9946380697;0.7409087784
commons-bcel;MLP;Our;4;StSm;SMOTE;0.8989637306;0.609499791;0.923061531;0.8989637306;0.5641025641;0.9106344951;0.7373685296
commons-bcel;RandomForest;Our;4;StSm;ADA;0.9766839378;0.7797222751;0.9739858329;0.9766839378;0.4615384615;0.9946380697;0.7280882656
commons-bcel;RandomForest;Our;4;St;SMOTE;0.976;0.775;0.973;0.976;0.462;0.994;0.728
commons-bcel;RandomForest;Our;4;St;ADA;0.976;0.775;0.973;0.976;0.462;0.994;0.728
commons-bcel;DT;Our;4;St;ADA;0.927;0.641;0.940;0.927;0.513;0.941;0.727
commons-bcel;RandomForest;Our;4;StSm;SMOTE;0.9749568221;0.7634054065;0.9720588575;0.9749568221;0.4358974359;0.9937444147;0.7148209253
commons-bcel;DT;Our;4;StSm;ADA;0.9248704663;0.632146052;0.9381890021;0.9248704663;0.4871794872;0.9401251117;0.7136522994
commons-bcel;RandomForest;Our;4;St;ROS;0.975;0.756;0.972;0.975;0.410;0.995;0.702
commons-bcel;RandomForest;Our;4;St;NONE;0.979;0.772;0.975;0.979;0.385;1.000;0.692
commons-bcel;RandomForest;Our;4;StSm;ROS;0.9740932642;0.7433510638;0.9703106052;0.9740932642;0.3846153846;0.9946380697;0.6896267272
commons-bcel;DT;Our;4;St;ROS;0.964;0.699;0.962;0.964;0.385;0.984;0.684
commons-bcel;MLP;Our;4;Ev;NONE;0.972;0.726;0.968;0.972;0.359;0.994;0.676
commons-bcel;DT;Our;4;St;NONE;0.948;0.653;0.952;0.948;0.385;0.968;0.676
commons-bcel;RandomForest;Our;4;StSm;NONE;0.9775474957;0.7442579505;0.972063293;0.9775474957;0.3333333333;1;0.6666666667
commons-bcel;DT;Our;4;StSm;ROS;0.9576856649;0.662400714;0.9568677011;0.9576856649;0.3333333333;0.9794459339;0.6563896336
commons-bcel;DT;Our;4;StSm;NONE;0.9680483592;0.6885173203;0.96371652;0.9680483592;0.3076923077;0.9910634495;0.6493778786
commons-bcel;RandomForest;Our;4;Ev;NONE;0.972;0.697;0.966;0.972;0.282;0.996;0.639
commons-bcel;MLP;Our;4;StSm;NONE;0.9645941278;0.5547949701;0.9531595879;0.9645941278;0.07692307692;0.9955317248;0.5362274008
commons-bcel;MLP;Our;4;St;NONE;0.965;0.515;0.951;0.965;0.026;0.998;0.512
commons-io;RandomForest;Our;4;AF;ADA;0.9691473838;0.9207965902;0.9688635744;0.9691473838;0.8412698413;0.9852164731;0.9132431572
commons-io;RandomForest;Our;4;AF;SMOTE;0.9692516156;0.9208987409;0.9689357523;0.9692516156;0.8394024276;0.9855684618;0.9124854447
commons-io;RandomForest;Our;4;StEv;ROS;0.9709193246;0.9241693763;0.970416637;0.9709193246;0.8319327731;0.9883843717;0.9101585724
commons-io;RandomForest;Our;4;StEv;SMOTE;0.9680008339;0.9177500259;0.9676858868;0.9680008339;0.8347338936;0.9847471548;0.9097405242
commons-io;RandomForest;Our;4;AF;ROS;0.9705023973;0.922752276;0.969926332;0.9705023973;0.8253968254;0.9887363604;0.9070665929
commons-io;RandomForest;Our;4;StEv;ADA;0.9669585157;0.9146415288;0.9665475582;0.9669585157;0.8244631186;0.9848644843;0.9046638015
commons-io;RandomForest;Our;4;EvSm;SMOTE;0.9542422347;0.8882337664;0.9549495003;0.9542422347;0.8319327731;0.9696116391;0.9007722061
commons-io;RandomForest;Our;4;EvSm;ADA;0.9534083802;0.8860185675;0.9540935146;0.9534083802;0.8263305322;0.9693769799;0.8978537561
commons-io;DT;Our;4;StEv;SMOTE;0.941942881;0.8650975424;0.9441821251;0.941942881;0.8384687208;0.9549454417;0.8967070813
commons-io;RandomForest;Our;4;St;ADA;0.950;0.880;0.951;0.950;0.825;0.966;0.896
commons-io;RandomForest;Our;4;St;ROS;0.951;0.880;0.952;0.951;0.822;0.967;0.894
commons-io;RandomForest;Our;4;St;SMOTE;0.950;0.880;0.951;0.950;0.822;0.967;0.894
commons-io;RandomForest;Our;4;Ev;SMOTE;0.950;0.879;0.951;0.950;0.818;0.967;0.892
commons-io;RandomForest;Our;4;StSm;SMOTE;0.949656035;0.8773196027;0.9504906484;0.949656035;0.8141923436;0.9666783996;0.8904353716
commons-io;MLP;Our;4;StEv;ROS;0.9483010215;0.8743605452;0.9492252774;0.9483010215;0.8113912232;0.9655051038;0.8884481635
commons-io;RandomForest;Our;4;StSm;ADA;0.9483010215;0.874066766;0.9491677261;0.9483010215;0.8085901027;0.9658570926;0.8872235976
commons-io;DT;Our;4;StSm;SMOTE;0.9292266;0.8418610139;0.9331593377;0.9292266;0.8328664799;0.9413352106;0.8871008453
commons-io;RandomForest;Our;4;Ev;ADA;0.944;0.867;0.946;0.944;0.813;0.961;0.887
commons-io;RandomForest;Our;4;StSm;ROS;0.9489264123;0.875102884;0.9496870669;0.9489264123;0.8067226891;0.9667957292;0.8867592091
commons-io;DT;Our;4;St;SMOTE;0.929;0.840;0.933;0.929;0.825;0.942;0.884
commons-io;DT;Our;4;StEv;ADA;0.9373566813;0.854013771;0.9396906047;0.9373566813;0.8141923436;0.9528335093;0.8835129265
commons-io;DT;Our;4;AF;SMOTE;0.933083177;0.8469104654;0.9361240034;0.933083177;0.8188608777;0.9474363487;0.8831486132
commons-io;MLP;Our;4;AF;ROS;0.9473629352;0.8709252178;0.9480773064;0.9473629352;0.7964519141;0.9663264109;0.8813891625
commons-io;MLP;Our;4;StEv;SMOTE;0.947988326;0.8719547329;0.9485951138;0.947988326;0.7945845005;0.9672650475;0.880924774
commons-io;DT;Our;4;AF;ADA;0.9373566813;0.8520538936;0.9393121467;0.9373566813;0.7973856209;0.9549454417;0.8761655313
commons-io;MLP;Our;4;StEv;ADA;0.947988326;0.8707257621;0.9483529195;0.947988326;0.7833800187;0.9686730025;0.8760265106
commons-io;RandomForest;Our;4;StSm;NONE;0.949134876;0.8721906982;0.9492175672;0.949134876;0.7759103641;0.9709022645;0.8734063143
commons-io;DT;Our;4;St;ADA;0.927;0.834;0.930;0.927;0.804;0.942;0.873
commons-io;MLP;Our;4;AF;ADA;0.945799458;0.8658759006;0.9462958776;0.945799458;0.7787114846;0.9667957292;0.8727536069
commons-io;MLP;Our;4;StSm;ROS;0.8587658954;0.7493368689;0.8779794159;0.8587658954;0.8870214753;0.8552152998;0.8711183875
commons-io;MLP;Our;4;AF;SMOTE;0.9478840942;0.8689413014;0.9479477065;0.9478840942;0.7693744164;0.9703156166;0.8698450165
commons-io;MLP;Our;4;St;SMOTE;0.863;0.753;0.881;0.863;0.876;0.862;0.869
commons-io;MLP;Our;4;StSm;SMOTE;0.862830936;0.7527243653;0.8808896519;0.862830936;0.8758169935;0.8611991083;0.8685080509
commons-io;RandomForest;Our;4;St;NONE;0.948;0.869;0.948;0.948;0.763;0.971;0.867
commons-io;DT;Our;4;StSm;ADA;0.9200542005;0.8214894185;0.9245199636;0.9200542005;0.7927170868;0.9360553796;0.8643862332
commons-io;RandomForest;Our;4;StEv;NONE;0.9638315614;0.8992613416;0.9619064761;0.9638315614;0.731092437;0.9930775549;0.8620849959
commons-io;DT;Our;4;StEv;ROS;0.9492391078;0.8691964524;0.9486738498;0.9492391078;0.7478991597;0.9745394814;0.8612193205
commons-io;MLP;Our;4;St;ROS;0.875;0.763;0.890;0.875;0.843;0.879;0.861
commons-io;RandomForest;Our;4;AF;NONE;0.9631019387;0.8971813511;0.9611282684;0.9631019387;0.7273576097;0.9927255661;0.8600415879
commons-io;MLP;Our;4;St;ADA;0.871;0.759;0.887;0.871;0.845;0.874;0.860
commons-io;DT;Our;4;AF;NONE;0.9476756306;0.8652242267;0.9471042723;0.9476756306;0.741363212;0.9736008448;0.8574820284
commons-io;DT;Our;4;StSm;ROS;0.9272461955;0.8295122551;0.9297756532;0.9272461955;0.7619047619;0.9480229966;0.8549638793
commons-io;DT;Our;4;AF;ROS;0.9483010215;0.8655913881;0.9474877724;0.9483010215;0.7338935574;0.9752434589;0.8545685081
commons-io;MLP;Our;4;StSm;ADA;0.8598082135;0.7449015368;0.8778856266;0.8598082135;0.8450046685;0.8616684266;0.8533365476
commons-io;DT;Our;4;StEv;NONE;0.9456952262;0.8594734702;0.9449724091;0.9456952262;0.7273576097;0.9731315265;0.8502445681
commons-io;DT;Our;4;St;ROS;0.931;0.833;0.932;0.931;0.744;0.954;0.849
commons-io;RandomForest;Our;4;EvSm;ROS;0.9598707526;0.8869664189;0.9574768789;0.9598707526;0.7021475257;0.9922562478;0.8472018867
commons-io;RandomForest;Our;4;Ev;ROS;0.958;0.879;0.955;0.958;0.677;0.993;0.835
commons-io;MLP;Our;4;AF;NONE;0.9478840942;0.8572920292;0.9456086263;0.9478840942;0.6769374416;0.9819312449;0.8294343433
commons-io;DT;Our;4;EvSm;ADA;0.8760683761;0.7536582367;0.8885392597;0.8760683761;0.766573296;0.8898275255;0.8282004108
commons-io;DT;Our;4;StSm;NONE;0.9250573275;0.8162281813;0.9260744223;0.9250573275;0.6965452848;0.953772146;0.8251587154
commons-io;DT;Our;4;St;NONE;0.925;0.814;0.925;0.925;0.691;0.954;0.822
commons-io;MLP;Our;4;StEv;NONE;0.9492391078;0.8553805406;0.9458753061;0.9492391078;0.6433239963;0.9876803942;0.8155021952
commons-io;DT;Our;4;Ev;ADA;0.866;0.734;0.880;0.866;0.719;0.885;0.802
commons-io;DT;Our;4;Ev;SMOTE;0.855;0.721;0.871;0.855;0.724;0.871;0.798
commons-io;MLP;Our;4;EvSm;ROS;0.8468834688;0.7114365336;0.8649966373;0.8468834688;0.7245564893;0.8622550745;0.7934057819
commons-io;DT;Our;4;EvSm;SMOTE;0.8749218261;0.7352881043;0.884620839;0.8749218261;0.6657329599;0.9012084947;0.7834707273
commons-io;LogistRegression;Our;4;StEv;ROS;0.770481551;0.6436276519;0.8087770677;0.770481551;0.7787114846;0.7694473777;0.7740794311
